birth_year,profile,photo,name,id,birth_day,birth_month,country_id
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030920-josef-ferstl.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030920.jpg,josef ferstl,3030920,29,12,GER
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030911-thomas-dressen.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030911.jpg,thomas dressen,3030911,22,11,GER
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034347-marton-kekesi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034347.jpg,marton kekesi,3034347,19,12,HUN
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3018290-patrick-mc-millan.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3018290.jpg,patrick mc millan,3018290,06,11,IRL
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027594-christof-innerhofer.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027594.jpg,christof innerhofer,3027594,17,12,ITA
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027612-dominik-paris.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027612.jpg,dominik paris,3027612,14,04,ITA
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027614-emanuele-buzzi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027614.jpg,emanuele buzzi,3027614,27,10,ITA
1982,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027609-peter-fill.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027609.jpg,peter fill,3027609,12,11,ITA
1987,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030468-igor-zakurdaev.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030468.jpg,igor zakurdaev,3030468,08,01,KAZ
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3040453-kim-dong-woo.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3040453.jpg,kim dong woo,3040453,01,06,KOR
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3017235-albin-tahiri.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3017235.jpg,albin tahiri,3017235,15,02,KOS
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3041257-marco-pfiffner.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3041257.jpg,marco pfiffner,3041257,25,03,LIE
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030623-christopher-hoerl.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030623.jpg,christopher hoerl,3030623,30,08,MDA
1982,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025445-aksel-lund-svindal.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025445.jpg,aksel lund svindal,3025445,26,12,NOR
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025437-aleksander-aamodt-kilde.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025437.jpg,aleksander aamodt kilde,3025437,21,09,NOR
1985,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025444-kjetil-jansrud.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025444.jpg,kjetil jansrud,3025444,28,08,NOR
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3017632-michal-klusak.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3017632.jpg,michal klusak,3017632,20,07,POL
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3043116-bostjan-kline.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3043116.jpg,bostjan kline,3043116,09,03,SLO
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3043120-klemen-kosi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3043120.jpg,klemen kosi,3043120,19,06,SLO
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3043090-martin-cater.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3043090.jpg,martin cater,3043090,20,12,SLO
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3043108-miha-hrobat.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3043108.jpg,miha hrobat,3043108,03,02,SLO
1996,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027767-marko-stevovic.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027767.jpg,marko stevovic,3027767,01,02,SRB
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027771-marko-vukicevic.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027771.jpg,marko vukicevic,3027771,27,10,SRB
